<S> <S>+BSTag
"Kuyrukları	kuyruk <n> <pl> <p3s> <3s>
"Kuyrukları	kuyruk <n> <pl> <p3s> <3p>
"Kuyrukları	kuyruk <n> <pl> <acc>
"Kuyrukları	kuyruk <n> <pl> <acc> <3s>
"Kuyrukları	kuyruk <n> <pl> <acc> <3p>
"Kuyrukları	kuyruk <n> <p3p>
"Kuyrukları	kuyruk <n> <p3p> <3s>
"Kuyrukları	kuyruk <n> <p3p> <3p>
ağızlarındave	<unk>
her	<unk>
tarafı	taraf <n> <p3s> <3s>
tarafı	taraf <n> <p3s> <3p>
tarafı	taraf <n> <acc>
tarafı	taraf <n> <acc> <3s>
tarafı	taraf <n> <acc> <3p>
kırıntı	kırıntı <n> <3s>
kırıntı	kırıntı <n> <3p>
içinde."	içinde <adv> <Dan_0> <n>
içinde."	içinde <adv> <Dan_0> <n> <3s>
içinde."	içinde <adv> <Dan_0> <n> <3p>
içinde."	iç <adj> <Djn_0> <n> <p2s> <loc>
içinde."	iç <adj> <Djn_0> <n> <p2s> <loc> <3s>
içinde."	iç <adj> <Djn_0> <n> <p2s> <loc> <3p>
içinde."	iç <adj> <Djn_0> <n> <p3s> <loc>
içinde."	iç <adj> <Djn_0> <n> <p3s> <loc> <3s>
içinde."	iç <adj> <Djn_0> <n> <p3s> <loc> <3p>
içinde."	iç <n> <p2s> <loc>
içinde."	iç <n> <p2s> <loc> <3s>
içinde."	iç <n> <p2s> <loc> <3p>
içinde."	iç <n> <p3s> <loc>
içinde."	iç <n> <p3s> <loc> <3s>
içinde."	iç <n> <p3s> <loc> <3p>
"Kırıntılar	kırıntı <n> <D_lA> <v> <t_aor> <3p>
"Kırıntılar	kırıntı <n> <3p>
"Kırıntılar	kırıntı <n> <pl>
"Kırıntılar	kırıntı <n> <pl> <3s>
"Kırıntılar	kırıntı <n> <pl> <3p>
konusunda	konu <n> <p3s> <loc> <3s>
konusunda	konu <n> <p3s> <loc> <3p>
yanılıyorsun,"	yan <v> <pass> <t_cont> <2s>
dedi	de <v> <t_past> <3p>
Sahte	sahte <adj> <Djn_0> <n>
Sahte	sahte <adj> <Djn_0> <n> <3s>
Sahte	sahte <adj> <Djn_0> <n> <3p>
Kaplumbağa:	kaplumbağa <n> <3s>
Kaplumbağa:	kaplumbağa <n> <3p>
"Kırıntıların	kırıntı <n> <pl> <p2s> <3s>
"Kırıntıların	kırıntı <n> <pl> <p2s> <3p>
"Kırıntıların	kırıntı <n> <pl> <gen>
"Kırıntıların	kırıntı <n> <pl> <gen> <3s>
"Kırıntıların	kırıntı <n> <pl> <gen> <3p>
hepsi	hepsi <prn> <3s>
hepsi	hepsi <prn> <3p>
denizde	deniz <n> <loc> <3s>
denizde	deniz <n> <loc> <3p>
yıkanıp	yıka <v> <pass> <cv_ip>
giderdi.	gider <n> <cpl_di> <3p>
giderdi.	gider <n> <3p> <cpl_di>
giderdi.	gider <v> <t_past> <3s>
giderdi.	gider <v> <t_past> <3p>
giderdi.	git <v> <caus> <t_past> <3s>
giderdi.	git <v> <caus> <t_past> <3p>
giderdi.	git <v> <t_aor> <cpl_di> <3s>
giderdi.	git <v> <t_aor> <cpl_di> <3p>
giderdi.	git <v> <t_aor> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
"Ama	ama <cnjcoo>
"Ama	ama <cnjadv>
kuyruklarını	kuyruk <n> <pl> <p2s> <acc> <3s>
kuyruklarını	kuyruk <n> <pl> <p2s> <acc> <3p>
kuyruklarını	kuyruk <n> <pl> <p3s> <acc>
kuyruklarını	kuyruk <n> <pl> <p3s> <acc> <3s>
kuyruklarını	kuyruk <n> <pl> <p3s> <acc> <3p>
kuyruklarını	kuyruk <n> <p3p> <acc>
kuyruklarını	kuyruk <n> <p3p> <acc> <3s>
kuyruklarını	kuyruk <n> <p3p> <acc> <3p>
ağızlarında	ağız <n> <pl> <p2s> <loc> <3s>
ağızlarında	ağız <n> <pl> <p2s> <loc> <3p>
ağızlarında	ağız <n> <pl> <p3s> <loc>
ağızlarında	ağız <n> <pl> <p3s> <loc> <3s>
ağızlarında	ağız <n> <pl> <p3s> <loc> <3p>
ağızlarında	ağız <n> <p3p> <loc>
ağızlarında	ağız <n> <p3p> <loc> <3s>
ağızlarında	ağız <n> <p3p> <loc> <3p>
tutuyorlar;	<unk>
ve	ve <cnjadv>
bunun	bun <n> <p2s> <3s>
bunun	bun <n> <p2s> <3p>
bunun	bun <n> <gen>
bunun	bun <n> <gen> <3s>
bunun	bun <n> <gen> <3p>
bunun	bu <prn> <dem> <p2s>
bunun	bu <prn> <dem> <p2s> <3s>
bunun	bu <prn> <dem> <p2s> <3p>
bunun	bu <prn> <dem> <gen>
bunun	bu <prn> <dem> <gen> <3s>
bunun	bu <prn> <dem> <gen> <3p>
nedeni"	neden <adv> <Dan_0> <n> <p3s> <3s>
nedeni"	neden <adv> <Dan_0> <n> <p3s> <3p>
nedeni"	neden <adv> <Dan_0> <n> <acc>
nedeni"	neden <adv> <Dan_0> <n> <acc> <3s>
nedeni"	neden <adv> <Dan_0> <n> <acc> <3p>
nedeni"	neden <n> <p3s>
nedeni"	neden <n> <p3s> <3s>
nedeni"	neden <n> <p3s> <3p>
nedeni"	neden <n> <acc>
nedeni"	neden <n> <acc> <3s>
nedeni"	neden <n> <acc> <3p>
burada	bura <prn> <locp> <loc> <3s>
burada	bura <prn> <locp> <loc> <3p>
Sahte	sahte <adj> <Djn_0> <n>
Sahte	sahte <adj> <Djn_0> <n> <3s>
