<S> <S>+BSTag
"Hangi	hangi <n> <3s>
"Hangi	hangi <n> <3p>
"Hangi	hangi <prn> <qst>
"Hangi	hangi <prn> <qst> <3s>
"Hangi	hangi <prn> <qst> <3p>
dava	dava <n> <3s>
dava	dava <n> <3p>
dava	dav <n> <dat>
dava	dav <n> <dat> <3s>
dava	dav <n> <dat> <3p>
bu?"	bu <prn> <dem> <3s>
bu?"	bu <prn> <dem> <3p>
bu?"	bu <det>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
bağırdı	bağır <n> <cpl_di> <3p>
bağırdı	bağır <n> <3p> <cpl_di>
bağırdı	bağır <v> <t_past> <3s>
bağırdı	bağır <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
koşarken;	koş <v> <t_aor> <3p> <cpl_ken>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
Gryphon	<unk>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
"Hadi!"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
cevap	cevap <n> <3s>
cevap	cevap <n> <3p>
verdi	verdi <n> <3s>
verdi	verdi <n> <3p>
verdi	ver <v> <t_past> <3s>
verdi	ver <v> <t_past> <3p>
ve	ve <cnjadv>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
hızlı	hızlı <adj> <Djn_0> <n>
hızlı	hızlı <adj> <Djn_0> <n> <3s>
hızlı	hızlı <adj> <Djn_0> <n> <3p>
hızlı	hızlı <adv>
hızlı	hızlı <adv> <Dan_0> <n>
hızlı	hızlı <adv> <Dan_0> <n> <3s>
hızlı	hızlı <adv> <Dan_0> <n> <3p>
hızlı	hız <n> <D_lI> <adj>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n>
hızlı	hız <n> <D_lI> <adj> <Djn_0> <n> <3s>
