<S> <S>+BSTag
"Elbette	elbette <adv> <Dan_0> <n>
"Elbette	elbette <adv> <Dan_0> <n> <3s>
"Elbette	elbette <adv> <Dan_0> <n> <3p>
"Elbette	elbet <adv> <Dan_0> <n> <loc>
"Elbette	elbet <adv> <Dan_0> <n> <loc> <3s>
"Elbette	elbet <adv> <Dan_0> <n> <loc> <3p>
bilmiyorsun!"	<unk>
dedi	de <v> <t_past> <3p>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı,	şapka <n> <D_CI> <n>
Şapkacı,	şapka <n> <D_CI> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <n> <3p>
küçümseyerek	<unk>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
başını	baş <n> <p3s> <acc>
başını	baş <n> <p3s> <acc> <3s>
başını	baş <n> <p3s> <acc> <3p>
sallayarak.	sal <n> <D_lA> <v> <cv_erek>
</S> </S>+ESTag
<S> <S>+BSTag
"Sanırım	<unk>
sen	sen <prn> <pers> <3s>
sen	sen <prn> <pers> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
Zaman'la	zamanla <v> <t_imp> <3p>
Zaman'la	zaman <n> <D_lA> <v> <t_imp> <2s>
Zaman'la	zaman <n> <D_lA> <v> <t_imp> <3p>
Zaman'la	zaman <n> <ins>
Zaman'la	zaman <n> <ins> <3s>
Zaman'la	zaman <n> <ins> <3p>
konuşmadın	<unk>
bile!"	bile <cnjadv>
bile!"	bil <v> <t_opt> <3s>
bile!"	bil <v> <t_opt> <3p>
"Belki	belki <adv> <Dan_0> <n>
"Belki	belki <adv> <Dan_0> <n> <3s>
"Belki	belki <adv> <Dan_0> <n> <3p>
"Belki	belki <cnjadv>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
değil,"	değil <not> <3p>
değil,"	değ <v> <pass> <t_imp> <2s>
değil,"	değ <v> <pass> <t_imp> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
temkinli	temkin <n> <D_lI> <adj> <Djn_0> <n>
temkinli	temkin <n> <D_lI> <adj> <Djn_0> <n> <3s>
temkinli	temkin <n> <D_lI> <adj> <Djn_0> <n> <3p>
temkinli	temkin <n> <D_lI> <n>
temkinli	temkin <n> <D_lI> <n> <3s>
temkinli	temkin <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
cevap	cevap <n> <3s>
cevap	cevap <n> <3p>
verdi	verdi <n> <3s>
